Time,SUN_X,SUN_Y,SUN_Z,199_X,199_Y,199_Z,299_X,299_Y,299_Z,399_X,399_Y,399_Z,301_X,301_Y,301_Z,-74_X,-74_Y,-74_Z,599_X,599_Y,599_Z,699_X,699_Y,699_Z,433_X,433_Y,433_Z,Eros_X,Eros_Y,Eros_Z,Orus_X,Orus_Y,Orus_Z,-49_X,-49_Y,-49_Z,-490_X,-490_Y,-490_Z,-255_X,-255_Y,-255_Z,2000016_X,2000016_Y,2000016_Z,90000188_X,90000188_Y,90000188_Z,90000190_X,90000190_Y,90000190_Z,90000191_X,90000191_Y,90000191_Z,Leucus_X,Leucus_Y,Leucus_Z,Eurybates_X,Eurybates_Y,Eurybates_Z,Polymele_X,Polymele_Y,Polymele_Z,Vesta_X,Vesta_Y,Vesta_Z,Mathilde_X,Mathilde_Y,Mathilde_Z,Lutetia_X,Lutetia_Y,Lutetia_Z,Donaldjohanson_X,Donaldjohanson_Y,Donaldjohanson_Z,Braille_X,Braille_Y,Braille_Z,Annefrank_X,Annefrank_Y,Annefrank_Z,Bennu_X,Bennu_Y,Bennu_Z,Itokawa_X,Itokawa_Y,Itokawa_Z,-64_X,-64_Y,-64_Z,Apophis_X,Apophis_Y,Apophis_Z,Ryugu_X,Ryugu_Y,Ryugu_Z,-122911_X,-122911_Y,-122911_Z,Patroclus_X,Patroclus_Y,Patroclus_Z,90000855_X,90000855_Y,90000855_Z,Dinkinesh_X,Dinkinesh_Y,Dinkinesh_Z,20065803_X,20065803_Y,20065803_Z,Gaspra_X,Gaspra_Y,Gaspra_Z,Ceres_X,Ceres_Y,Ceres_Z
2013-09-09,0.00028499,-0.0022373,-0.00105384,99.0,99.0,99.0,0.02951386,-0.66407726,-0.30068405,99.0,99.0,99.0,99.0,99.0,99.0,-0.39088116,1.40638963,0.6556092,99.0,99.0,99.0,-7.29142274,-6.23387302,-2.26099738,99.0,99.0,99.0,5.89913293,-29.96792164,-11.12913886,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.96890521,3.97482155,1.66597027,1.96890485,3.97482201,1.66597001,-5.37736978,0.24777716,-1.01465136,-5.27101967,-0.26663215,0.4381264,-5.30842313,-0.33133136,0.89361601,-1.91141792,1.28140022,0.76050701,99.0,99.0,99.0,99.0,99.0,99.0,0.08007126,1.81463778,0.77269695,99.0,99.0,99.0,99.0,99.0,99.0,-0.32317728,-1.1458691,-0.64591436,0.50372375,-0.88316504,-0.40817979,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.97876703,-0.2214029,-0.0959752,99.0,99.0,99.0,99.0,99.0,99.0,-1.87388811,0.78328787,0.39948736,99.0,99.0,99.0,-2.55061909,-0.17060716,-0.25913417,-2.1945222,0.95444777,0.89708796
2013-09-10,0.00029117,-0.00223619,-0.00105351,-0.35995606,-0.23228902,-0.08659492,0.04958102,-0.66268676,-0.30132804,0.98255528,-0.20584027,-0.08932053,0.98069034,-0.20740483,-0.08998293,-0.40388523,1.40417283,0.65496297,-0.48094769,4.70684909,2.029109,99.0,99.0,99.0,0.06324847,1.0136822,0.58737311,5.90232704,-29.96756911,-11.12996004,-4.13083428,2.85345834,0.48986355,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.96410176,3.97673024,1.66789398,1.9640943,3.97673331,1.66789134,1.96409394,3.97673377,1.66789108,99.0,99.0,99.0,-5.27163324,-0.27308209,0.43457475,-5.30926665,-0.33751059,0.88995611,-1.91721952,1.27259885,0.75776066,-1.47669452,-2.04987978,-0.61410955,99.0,99.0,99.0,0.06688129,1.81457273,0.77157059,-1.4023277,0.21288264,-0.63937598,0.69146096,1.89367028,0.68968614,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.73063396,0.28938949,0.12598138,99.0,99.0,99.0,0.98242741,-0.20609085,-0.08933802,99.0,99.0,99.0,5.23800362,0.4779803,-0.03581788,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-2.19983355,0.94520278,0.89381309
2013-09-11,0.00029735,-0.00223506,-0.00105318,-0.34926359,-0.25098678,-0.0976911,0.06961025,-0.66078803,-0.30174096,99.0,99.0,99.0,0.98452583,-0.19239951,-0.0834214,99.0,99.0,99.0,-0.48855299,4.70645793,2.02912646,-7.28452594,-6.24142427,-2.26441262,0.046156,1.01403961,0.58448773,5.90552581,-29.96721386,-11.13079489,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.95927789,3.97863402,1.66980778,99.0,99.0,99.0,-5.37781503,0.23424334,-1.01957593,-5.27223631,-0.27953148,0.43102223,-5.31010015,-0.34368918,0.88629453,-1.9229813,1.26377103,0.75499856,-1.46650798,-2.05326009,-0.61513199,99.0,99.0,99.0,0.05368877,1.81443796,0.77041457,-1.39910511,0.19728237,-0.6402629,0.67995017,1.89643949,0.69155304,-0.29720304,-1.15027104,-0.64851407,0.53800512,-0.87420997,-0.40518171,99.0,99.0,99.0,0.72486439,0.30788496,0.13271334,99.0,99.0,99.0,0.98580189,-0.19072076,-0.08267568,99.0,99.0,99.0,5.23687345,0.4826722,-0.03395942,99.0,99.0,99.0,99.0,99.0,99.0,-2.54977342,-0.18877873,-0.26650656,-2.20510596,0.93594103,0.89052238
2013-09-12,0.00030352,-0.00223394,-0.00105284,-0.33735495,-0.26881949,-0.10845128,99.0,99.0,99.0,99.0,99.0,99.0,0.98815378,-0.17723009,-0.07679288,-0.4298162,1.3994563,0.65346855,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.90872728,-29.96685777,-11.13164382,-4.13979693,2.84233667,0.48401644,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.95445601,3.98052369,1.67171959,1.95445564,3.98052415,1.67171933,-5.37802313,0.22747579,-1.02203547,99.0,99.0,99.0,99.0,99.0,99.0,-1.92870309,1.2549169,0.75222074,99.0,99.0,99.0,99.0,99.0,99.0,0.04049419,1.81423337,0.76922891,99.0,99.0,99.0,0.66841863,1.89915077,0.69339881,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.71867514,0.32620083,0.13936784,99.0,99.0,99.0,0.98888955,-0.1752973,-0.07599019,3.7170403,2.64187006,0.87332304,5.23573262,0.48736312,-0.0321009,-1.89247737,0.7545095,0.38610323,99.0,99.0,99.0,99.0,99.0,99.0,-2.21033933,0.9266627,0.8872159
2013-09-13,99.0,99.0,99.0,-0.32430015,-0.28574765,-0.11884709,0.10949341,-0.6554728,-0.30187283,0.99180436,-0.15956844,-0.0692633,0.99154365,-0.16188424,-0.07009518,99.0,99.0,99.0,99.0,99.0,99.0,-7.27761904,-6.24896745,-2.26782517,99.0,99.0,99.0,5.91192925,-29.96650294,-11.13250685,-4.14426394,2.83676601,0.48109121,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.94963615,3.9823993,1.67362942,1.94962865,3.98240231,1.67362676,1.94962829,3.98240277,1.6736265,-5.37822156,0.22070783,-1.02449316,-5.27341096,-0.29242859,0.42391463,-5.31173713,-0.35604442,0.87896637,-1.93438473,1.24603662,0.74942726,-1.44606048,-2.05991634,-0.61714561,99.0,99.0,99.0,0.02729805,1.81395886,0.7680136,-1.39232648,0.16603553,-0.64188422,0.65686667,1.90180398,0.69522338,-0.27108607,-1.15412211,-0.65080311,0.57181008,-0.8644821,-0.40182546,99.0,99.0,99.0,0.71207424,0.34432854,0.14594189,-0.50633681,-1.15506499,-0.51022801,0.99168971,-0.15982515,-0.06928352,3.71311006,2.64685453,0.87883426,5.23458113,0.49205304,-0.03024231,-1.89854851,0.74486612,0.38161599,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
2013-09-14,0.00031588,-0.00223165,-0.00105215,-0.31016834,-0.30173548,-0.12885225,0.12931673,-0.65206071,-0.30159182,0.99431191,-0.1440503,-0.06253652,0.99466087,-0.1463569,-0.06332888,99.0,99.0,99.0,-0.51136066,4.70522232,2.02915205,-7.27416194,-6.25273577,-2.26953044,-0.00515933,1.01399253,0.57518898,5.91512952,-29.96615145,-11.13338402,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.94480335,3.98426689,1.67553195,1.94479585,3.98426988,1.67552929,1.94479549,3.98427034,1.67552903,-5.37841031,0.21393947,-1.02694902,-5.27398255,-0.29887629,0.42035955,-5.31254061,-0.36222104,0.8752998,-1.94002604,1.23713035,0.74661814,99.0,99.0,99.0,-2.32178369,1.42518746,0.76649416,99.0,99.0,99.0,99.0,99.0,99.0,0.64529463,1.904399,0.69702666,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.99420185,-0.14430894,-0.06255766,99.0,99.0,99.0,99.0,99.0,99.0,-1.90455685,0.73519804,0.37711609,99.0,99.0,99.0,-2.54817182,-0.21601127,-0.27753028,99.0,99.0,99.0
2013-09-15,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-0.46854838,1.3916657,0.65095363,-0.51896007,4.70478973,2.02915164,-7.27070259,-6.25650184,-2.27123504,99.0,99.0,99.0,5.91832635,-29.96580486,-11.13427471,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.93996512,3.98612342,1.67742983,1.93995761,3.9861264,1.67742717,1.93995724,3.98612686,1.67742691,-5.37858938,0.20717072,-1.02940303,-5.27454364,-0.30532339,0.41680364,99.0,99.0,99.0,-1.94562688,1.22819824,0.74379343,99.0,99.0,99.0,-2.32724574,1.4181428,0.7636847,0.00090315,1.81319975,0.76549406,-1.38509847,0.13473446,-0.64329874,99.0,99.0,99.0,99.0,99.0,99.0,0.60511969,-0.85400667,-0.39812175,99.0,99.0,99.0,0.6976704,0.37998679,0.15883731,-0.48248826,-1.16811401,-0.51288332,99.0,99.0,99.0,3.70521668,2.65680001,0.8898489,5.23224616,0.50142986,-0.02652495,99.0,99.0,99.0,99.0,99.0,99.0,-2.54754928,-0.22508155,-0.28119531,-2.22580432,0.8987298,0.87720239
2013-09-16,99.0,99.0,99.0,-0.27894564,-0.33076324,-0.14759464,0.16865082,-0.64374144,-0.30033735,0.99846048,-0.11289973,-0.04903293,0.99993211,-0.11478012,-0.04960843,-0.48136491,1.38884937,0.65002683,99.0,99.0,99.0,-7.26724113,-6.26026572,-2.27293894,-0.03936969,1.0130197,0.56845501,5.921518,-29.96546455,-11.13517703,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.93512146,3.9879689,1.67932307,1.93511394,3.98797186,1.6793204,99.0,99.0,99.0,-5.37875878,0.2004016,-1.03185519,-5.27509425,-0.31176988,0.4132469,-5.31411755,-0.37457224,0.86796171,99.0,99.0,99.0,99.0,99.0,99.0,-2.33267746,1.41107965,0.76086529,99.0,99.0,99.0,-1.38131418,0.11906648,-0.64392715,0.62209163,1.9094139,0.7005691,99.0,99.0,99.0,0.62158324,-0.84849651,-0.39614295,99.0,99.0,99.0,99.0,99.0,99.0,-0.4704783,-1.17443369,-0.51412097,99.0,99.0,99.0,3.70125358,2.66176099,0.89535228,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-2.23088063,0.88938674,0.8738334
2013-09-17,0.0003344,-0.00222817,-0.00105109,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.0020179,-0.09876406,-0.04267077,99.0,99.0,99.0,-0.53415571,4.70389613,2.02913866,-7.26377758,-6.26402748,-2.27464213,-0.05646533,1.01224849,0.56492798,5.92470263,-29.96513196,-11.13608898,-4.16203637,2.81441821,0.46937932,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.9302724,3.98980332,1.68121164,1.93026487,3.98980627,1.68120897,1.9302645,3.98980672,1.6812087,99.0,99.0,99.0,-5.27563437,-0.31821576,0.40968934,99.0,99.0,99.0,-1.95670644,1.21025714,0.7380974,99.0,99.0,99.0,-2.33807878,1.40399809,0.75803595,-0.02549185,1.81215995,0.762856,-1.37741544,0.10338846,-0.6445023,0.61046136,1.91183354,0.7023081,-0.21847279,-1.16015883,-0.65444173,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-0.45841338,-1.18061651,-0.51529871,1.00000432,-0.09753989,-0.0422837,99.0,99.0,99.0,5.22986853,0.51080259,-0.02280738,-1.92220423,0.70604926,0.36354223,99.0,99.0,99.0,99.0,99.0,99.0,-2.23591744,0.88002792,0.87044892
2013-09-18,0.00034058,-0.002227,-0.00105074,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-0.50690556,1.38294179,0.64797472,-0.54175283,4.70343402,2.02912554,-7.26031204,-6.26778716,-2.27634461,99.0,99.0,99.0,5.92787865,-29.96480831,-11.13700853,-4.16645553,2.80881504,0.46644864,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-5.27616401,-0.32466101,0.40613096,99.0,99.0,99.0,99.0,99.0,99.0,-1.39451205,-2.07594023,-0.62199499,-2.34344963,1.39689824,0.75519674,99.0,99.0,99.0,-1.37340159,0.08770162,-0.64502369,0.59881235,1.91419447,0.70402553,99.0,99.0,99.0,0.65411763,-0.83694699,-0.39193818,99.0,99.0,99.0,0.67318652,0.43186773,0.1775098,-0.4462951,-1.18666226,-0.51641663,99.0,99.0,99.0,3.69329461,2.67165941,0.90635113,5.22866371,0.5154874,-0.02094852,-1.92796054,0.69628603,0.35899344,99.0,99.0,99.0,99.0,99.0,99.0,-2.24091467,0.8706535,0.86704903
