Time,SUN_X,SUN_Y,SUN_Z,199_X,199_Y,199_Z,299_X,299_Y,299_Z,399_X,399_Y,399_Z,301_X,301_Y,301_Z,-74_X,-74_Y,-74_Z,599_X,599_Y,599_Z,699_X,699_Y,699_Z,433_X,433_Y,433_Z,Eros_X,Eros_Y,Eros_Z,Orus_X,Orus_Y,Orus_Z,-49_X,-49_Y,-49_Z,-490_X,-490_Y,-490_Z,-255_X,-255_Y,-255_Z,2000016_X,2000016_Y,2000016_Z,90000188_X,90000188_Y,90000188_Z,90000190_X,90000190_Y,90000190_Z,90000191_X,90000191_Y,90000191_Z,Leucus_X,Leucus_Y,Leucus_Z,Eurybates_X,Eurybates_Y,Eurybates_Z,Polymele_X,Polymele_Y,Polymele_Z,Vesta_X,Vesta_Y,Vesta_Z,Mathilde_X,Mathilde_Y,Mathilde_Z,Lutetia_X,Lutetia_Y,Lutetia_Z,Donaldjohanson_X,Donaldjohanson_Y,Donaldjohanson_Z,Braille_X,Braille_Y,Braille_Z,Annefrank_X,Annefrank_Y,Annefrank_Z,Bennu_X,Bennu_Y,Bennu_Z,Itokawa_X,Itokawa_Y,Itokawa_Z,-64_X,-64_Y,-64_Z,Apophis_X,Apophis_Y,Apophis_Z,Ryugu_X,Ryugu_Y,Ryugu_Z,-122911_X,-122911_Y,-122911_Z,Patroclus_X,Patroclus_Y,Patroclus_Z,90000855_X,90000855_Y,90000855_Z,Dinkinesh_X,Dinkinesh_Y,Dinkinesh_Z,20065803_X,20065803_Y,20065803_Z,Gaspra_X,Gaspra_Y,Gaspra_Z,Ceres_X,Ceres_Y,Ceres_Z
2008-03-19,-0.0003475,0.00458766,0.00192136,0.05938734,-0.39454019,-0.21747569,99.0,99.0,99.0,-0.99566495,0.02603624,0.01122214,-0.99779678,0.02736036,0.01180322,-1.10345763,1.10959726,0.53853271,0.72729105,-4.73932252,-2.04917775,-8.47224961,3.37808109,1.75999425,1.1167571,0.60330593,0.5438109,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.88702853,4.00622805,1.69647861,1.88702795,4.00623108,1.6964746,1.88702758,4.0062297,1.69647338,4.8698249,0.25324063,1.09046589,4.9567752,-0.32716193,-0.73711313,4.73356577,-0.282187,-1.15657317,2.15953489,-0.66198771,-0.54590407,-3.20703095,0.91087426,0.27640994,2.00462202,-0.33687439,-0.26550311,0.75057379,-2.51783351,-1.00075296,2.26715731,1.92306847,1.3880799,-1.96375699,-0.89402552,-0.21343777,0.68572005,0.53109386,0.29644828,99.0,99.0,99.0,99.0,99.0,99.0,0.23295104,-0.69520836,-0.25242875,-1.0508286,0.20285673,-0.03009214,-0.99555836,0.02629719,0.01122119,-4.93267381,-2.88897349,-0.65073869,4.21344497,1.96202818,0.58042587,-0.50112375,-2.15018871,-1.01330383,99.0,99.0,99.0,0.3548981,-2.04578342,-0.8106774,0.73279242,2.41808006,0.98954709
2008-03-20,99.0,99.0,99.0,0.08152867,-0.38858792,-0.21659253,0.45900161,-0.49927144,-0.25383832,99.0,99.0,99.0,-0.99862619,0.01107909,0.00468758,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.10574898,0.61297835,0.54732033,99.0,99.0,99.0,4.38374161,-2.76638419,-0.41641585,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.88212619,4.00792222,1.69830488,1.88212561,4.00792524,1.69830087,1.88212524,4.00792387,1.69829965,4.86856234,0.26064707,1.09285148,4.95711071,-0.32036853,-0.73333717,4.73429461,-0.27537063,-1.1524934,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.75957082,-2.51613142,-0.99928411,99.0,99.0,99.0,-1.95942422,-0.90413464,-0.21767005,0.67151374,0.54287554,0.30316813,0.9629374,1.28729404,0.54561559,99.0,99.0,99.0,0.25197881,-0.68718265,-0.24895426,-1.05625628,0.18765333,-0.03667571,99.0,99.0,99.0,-4.929121,-2.89275704,-0.65512223,4.20846002,1.96567747,0.5820436,-0.49099685,-2.15223646,-1.01442621,99.0,99.0,99.0,0.36567701,-2.04256395,-0.80856006,99.0,99.0,99.0
2008-03-21,-0.00036045,0.00458727,0.00192144,0.10341633,-0.3814185,-0.2150329,99.0,99.0,99.0,-0.99644554,-0.00563835,-0.00250815,-0.99903652,-0.0052486,-0.00244561,-1.1231206,1.09441006,0.53212167,0.74204633,-4.73658019,-2.04836166,-8.47740376,3.36856314,1.75628421,1.09461499,0.62258154,0.5507677,-0.4563524,-30.03815499,-9.2363763,4.38739001,-2.7605185,-0.41350097,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.87721861,4.00960525,1.70012643,1.87721803,4.00960826,1.70012242,1.87721766,4.00960689,1.7001212,4.86728822,0.26805291,1.09523448,4.95743465,-0.31357438,-0.72955948,4.7350114,-0.26855356,-1.1484107,2.16921887,-0.64249768,-0.53940955,-3.2109327,0.89586102,0.27190924,2.01081626,-0.3138168,-0.25563262,0.76855778,-2.51439599,-0.99780202,2.26050515,1.93617659,1.38697185,-1.95503477,-0.91421747,-0.22189598,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.27084798,-0.67872215,-0.24532209,-1.06143058,0.17240597,-0.04325001,99.0,99.0,99.0,-4.92556053,-2.89653608,-0.65950475,4.20346292,1.96932109,0.58365965,-0.48085988,-2.15423998,-1.01552775,99.0,99.0,99.0,0.37644619,-2.03929002,-0.80642118,0.71240845,2.42024283,0.99471395
2008-03-22,-0.00036692,0.00458706,0.00192148,0.12497739,-0.37303502,-0.21279089,0.48936835,-0.47463196,-0.24467493,-0.99639079,-0.02147293,-0.0093722,-0.99902281,-0.02159264,-0.00958063,99.0,99.0,99.0,99.0,99.0,99.0,-8.47997648,3.36380205,1.75442826,99.0,99.0,99.0,-0.45313979,-30.03837119,-9.23734611,4.39102918,-2.754647,-0.41058523,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.87230523,4.01128014,1.70193924,99.0,99.0,99.0,4.86600254,0.27545811,1.09761488,4.95774699,-0.30677948,-0.72578009,99.0,99.0,99.0,2.17398454,-0.63272979,-0.53614321,-3.21284545,0.88834377,0.26965567,2.01381015,-0.30227148,-0.25068407,0.77753457,-2.51262726,-0.99630671,2.25715062,1.94270638,1.38640039,-1.95058883,-0.92427376,-0.22611544,0.64231953,0.56580361,0.31625223,99.0,99.0,99.0,99.0,99.0,99.0,0.28954516,-0.66982836,-0.24153315,-1.06635228,0.15711863,-0.04981356,-0.99629778,-0.02120684,-0.00937139,99.0,99.0,99.0,99.0,99.0,99.0,-0.47071304,-2.15619926,-1.01660844,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
2008-03-23,-0.0003734,0.00458684,0.00192151,0.14613694,-0.36344263,-0.20986147,0.5039946,-0.46175667,-0.23980802,-0.99603968,-0.0372998,-0.016233,-0.99858654,-0.03792329,-0.01670231,-1.14241446,1.07893043,0.52556458,0.75679673,-4.73379777,-2.04752819,-8.48254618,3.35903947,1.75257169,1.07197095,0.64157381,0.55747289,-0.44991736,-30.03857912,-9.23832309,4.39465912,-2.74876972,-0.40766862,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.8673878,4.01293787,1.70375535,1.86738722,4.01294086,1.70375133,1.86738684,4.0129395,1.70375012,4.86470531,0.28286267,1.09999267,4.95804773,-0.29998387,-0.721999,4.7364088,-0.25491737,-1.14023652,2.17869925,-0.62294698,-0.53286426,-3.21473273,0.88081952,0.26739997,2.01673516,-0.29071567,-0.24572689,0.78650106,-2.51082526,-0.99479822,99.0,99.0,99.0,-1.94608656,-0.93430324,-0.23032833,0.62734069,0.57693903,0.32261025,99.0,99.0,99.0,99.0,99.0,99.0,0.30805689,-0.66050323,-0.2375885,-1.07102222,0.14179523,-0.0563649,-0.99595126,-0.03703215,-0.01623159,-4.91841663,-2.90408066,-0.6682667,4.1934322,1.97659126,0.58688669,-0.46055654,-2.15811425,-1.01766825,99.0,99.0,99.0,0.39795407,-2.03257857,-0.80207873,0.69198195,2.42226148,0.99982158
2008-03-24,-0.00037987,0.00458661,0.00192153,0.16681792,-0.35264881,-0.20624066,99.0,99.0,99.0,-0.99539249,-0.05311451,-0.02308865,-0.9977349,-0.05421221,-0.02379652,-1.15195774,1.07110033,0.52220684,0.76416935,-4.73239125,-2.04710481,-8.48511278,3.35427538,1.75071449,1.06046174,0.65095967,0.56072903,-0.44668573,-30.0387798,-9.23930985,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.86246459,4.01458745,1.70556271,99.0,99.0,99.0,1.86246363,4.01458907,1.70555748,4.86339653,0.29026656,1.10236786,4.95833687,-0.29318755,-0.71821622,4.7370894,-0.24809828,-1.13614506,2.18336298,-0.6131495,-0.52957281,-3.21659454,0.87328832,0.26514218,2.01959124,-0.27914978,-0.24076125,99.0,99.0,99.0,2.25038489,1.95571722,1.38522271,-1.94152817,-0.94430564,-0.23453451,0.61211375,0.5878482,0.32884151,0.92495851,1.30879028,0.55629411,99.0,99.0,99.0,0.3263697,-0.65074915,-0.23348938,99.0,99.0,99.0,99.0,99.0,99.0,-4.91483321,-2.90784617,-0.67264611,4.18839858,1.98021776,0.58849766,-0.4503906,-2.15998494,-1.01870717,99.0,99.0,99.0,0.40869215,-2.02914094,-0.79987517,0.68175311,2.42321664,1.00235306
2008-03-25,-0.00038635,0.00458637,0.00192155,99.0,99.0,99.0,99.0,99.0,99.0,-0.99444953,-0.06891262,-0.02993723,-0.99648003,-0.07043338,-0.03085064,99.0,99.0,99.0,0.77153956,-4.7309747,-2.0466771,99.0,99.0,99.0,1.04882831,0.66026984,0.56391974,-0.44344624,-30.03897472,-9.24030797,4.40189123,-2.73699781,-0.40183285,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.8575362,4.01622588,1.70736532,1.85753561,4.01622886,1.7073613,1.85753523,4.01622749,1.7073601,4.86207619,0.29766977,1.10474043,4.95861441,-0.28639053,-0.71443175,4.73775792,-0.24127856,-1.1320507,2.18797567,-0.60333759,-0.52626893,99.0,99.0,99.0,2.02237836,-0.26757421,-0.23578733,99.0,99.0,99.0,2.2469738,1.9621982,1.38461653,-1.93691383,-0.9542807,-0.23873389,0.59664372,0.59852588,0.33494301,0.91532122,1.31396625,0.55887959,99.0,99.0,99.0,0.34447004,-0.64056899,-0.22923722,99.0,99.0,99.0,-0.99437035,-0.06864212,-0.02993462,-4.91124213,-2.91160715,-0.67702448,4.18335277,1.9838385,0.59010693,-0.44021542,-2.16181129,-1.01972519,99.0,99.0,99.0,0.41941922,-2.02564863,-0.79765006,0.67151408,2.42413562,1.00486957
2008-03-26,-0.00039282,0.00458612,0.00192157,0.20642419,-0.32749983,-0.19691462,0.54551118,-0.4210277,-0.22411162,-0.99321113,-0.08468966,-0.03677682,-0.99483812,-0.08656364,-0.0378538,-1.1708778,1.05522372,0.51541522,99.0,99.0,99.0,-8.49023623,3.34474261,1.74699819,1.03707117,0.66950268,0.56704417,-0.44020087,-30.03916593,-9.24131878,4.40549339,-2.73110322,-0.39891369,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.85260264,4.01785314,1.7091632,1.85260205,4.01785611,1.70915918,1.85260167,4.01785475,1.70915797,4.8607443,0.30507228,1.10711038,4.95888033,-0.27959284,-0.71064561,4.73841436,-0.23445821,-1.12795346,2.19253729,-0.59351151,-0.52295274,-3.22024163,0.85820531,0.26062033,2.02509649,-0.25598937,-0.2308053,99.0,99.0,99.0,2.24354396,1.96866285,1.38399881,-1.93224374,-0.96422817,-0.24292635,0.58093582,0.60896691,0.34091183,0.905628,1.31906223,0.56143106,99.0,99.0,99.0,0.36234441,-0.6299661,-0.22483359,-1.08353114,0.09564723,-0.07593136,99.0,99.0,99.0,-4.90764342,-2.91536361,-0.6814018,4.17829477,1.98745348,0.59171448,-0.43003122,-2.16359328,-1.02072228,99.0,99.0,99.0,0.43013498,-2.02210159,-0.79540339,99.0,99.0,99.0
2008-03-27,-0.00039929,0.00458586,0.00192158,99.0,99.0,99.0,0.55852722,-0.40678497,-0.2185276,-0.9916777,-0.10044113,-0.04360547,-0.99282859,-0.10258305,-0.04479699,-1.18021377,1.04716622,0.51199669,0.78627581,-4.72811317,-2.04580942,-8.49279284,3.33997414,1.74513905,99.0,99.0,99.0,99.0,99.0,99.0,4.40908628,-2.72520288,-0.3959937,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.84766296,4.01947085,1.71095109,4.85940087,0.31247408,1.10947771,4.95913463,-0.2727945,-0.7068578,4.73905871,-0.22763726,-1.12385333,99.0,99.0,99.0,-3.22202686,0.85065362,0.25835632,99.0,99.0,99.0,0.82226181,-2.50328537,-0.98863287,2.24009541,1.97511112,1.38336956,-1.92751808,-0.97414778,-0.24711176,0.56499549,0.61916627,0.3467451,0.8958794,1.32407787,0.56394832,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,-0.99160788,-0.10016808,-0.04360167,99.0,99.0,99.0,4.17322457,1.99106267,0.59332031,-0.41983821,-2.16533088,-1.02169844,99.0,99.0,99.0,0.44083909,-2.01849976,-0.79313517,0.65100597,2.42586489,1.00985751
2008-03-28,-0.00040576,0.00458558,0.00192159,0.24313038,-0.29770502,-0.18480617,0.57111491,-0.39222698,-0.21277463,-0.98984969,-0.11616251,-0.05042122,-0.99047341,-0.1184751,-0.05167315,99.0,99.0,99.0,0.79364187,-4.72666748,-2.04536911,-8.49534599,3.33520443,1.74327924,99.0,99.0,99.0,-0.43370024,-30.03954517,-9.24338313,4.41266988,-2.71929681,-0.39307287,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,1.84272007,4.02107418,1.71274469,1.84271948,4.02107713,1.71274067,1.8427191,4.02107578,1.71273947,4.85804588,0.31987513,1.11184239,99.0,99.0,99.0,99.0,99.0,99.0,2.20150713,-0.57381781,-0.51628375,-3.22378653,0.8430952,0.25609027,2.03032563,-0.23279348,-0.22081765,0.83117511,-2.5013176,-0.98705882,2.23662821,1.98154299,1.38272882,-1.92273705,-0.98403928,-0.25129003,0.54882831,0.62911904,0.35244001,0.88607597,1.32901278,0.5664312,99.0,99.0,99.0,99.0,99.0,99.0,-1.09063028,0.06477134,-0.08888897,-0.98978459,-0.1158883,-0.05041683,99.0,99.0,99.0,4.16814216,1.99466604,0.5949244,-0.4096366,-2.16702407,-1.02265364,99.0,99.0,99.0,0.45153124,-2.0148431,-0.79084541,0.64073719,2.42667509,1.01232883
