,Time,SUN_X,SUN_Y,SUN_Z,199_X,199_Y,199_Z,299_X,299_Y,299_Z,399_X,399_Y,399_Z,301_X,301_Y,301_Z,-74_X,-74_Y,-74_Z,599_X,599_Y,599_Z,699_X,699_Y,699_Z,433_X,433_Y,433_Z,Eros_X,Eros_Y,Eros_Z,Orus_X,Orus_Y,Orus_Z,-49_X,-49_Y,-49_Z,-490_X,-490_Y,-490_Z,-255_X,-255_Y,-255_Z,2000016_X,2000016_Y,2000016_Z,90000188_X,90000188_Y,90000188_Z,90000190_X,90000190_Y,90000190_Z,90000191_X,90000191_Y,90000191_Z,Leucus_X,Leucus_Y,Leucus_Z,Eurybates_X,Eurybates_Y,Eurybates_Z,Polymele_X,Polymele_Y,Polymele_Z,Vesta_X,Vesta_Y,Vesta_Z,Mathilde_X,Mathilde_Y,Mathilde_Z,Lutetia_X,Lutetia_Y,Lutetia_Z,Donaldjohanson_X,Donaldjohanson_Y,Donaldjohanson_Z,Braille_X,Braille_Y,Braille_Z,Annefrank_X,Annefrank_Y,Annefrank_Z,Bennu_X,Bennu_Y,Bennu_Z,Itokawa_X,Itokawa_Y,Itokawa_Z,-64_X,-64_Y,-64_Z,Apophis_X,Apophis_Y,Apophis_Z,Ryugu_X,Ryugu_Y,Ryugu_Z,-122911_X,-122911_Y,-122911_Z,Patroclus_X,Patroclus_Y,Patroclus_Z,90000855_X,90000855_Y,90000855_Z,Dinkinesh_X,Dinkinesh_Y,Dinkinesh_Z,20065803_X,20065803_Y,20065803_Z,Gaspra_X,Gaspra_Y,Gaspra_Z,Ceres_X,Ceres_Y,Ceres_Z
0,2000-01-01 01:19:00,-0.00713957,-0.00264433,-0.00092156,-0.14668994,-0.40093368,-0.19919916,-0.72574035,-0.04069748,0.02743653,-0.17662241,0.88604474,0.38436782,-0.17872761,0.88444064,0.38393862,99,99,99,3.99606714,2.73131967,1.07342051,6.40117789,6.17044376,2.27311946,-1.2057349,-0.41243286,-0.45008106,-9.88377107,-27.98101001,-5.75443227,0.89701008,4.48812006,1.93437848,99,99,99,99,99,99,99,99,99,99,99,99,-0.59613551,-1.27246902,-0.54038713,-0.59609649,-1.27248098,-0.54039895,-0.5961315,-1.27247051,-0.54038655,-3.43637798,3.79337671,0.64874345,-2.15281128,3.63675139,2.28233907,-1.94513031,3.57688662,2.62387785,-1.36499332,-1.62034445,-0.46759302,-3.20923975,-0.24032608,-0.07143575,-0.00267258,-2.01287825,-0.89292468,-1.86266296,-1.36016258,-0.7289106,1.4873002,-1.14138384,0.53610765,2.19781036,0.52455244,0.05341238,-0.4818532,0.72305743,0.41117623,0.62067725,-0.84744531,-0.39626252,99,99,99,-1.04691757,-0.12317509,-0.07267596,1.13122738,0.13308641,0.17253901,-0.17634534,0.88609657,0.38436786,3.53636744,-1.46270443,-2.45981124,5.04818827,-1.01216158,-0.60285136,1.02326447,1.51980941,0.70630611,99,99,99,-1.72076349,1.47789252,0.4778848,-2.38487027,0.54740101,0.74203778
1,2000-01-01 02:10:00,-0.00713938,-0.00264457,-0.00092167,-0.14593896,-0.401126,-0.19937973,-0.72572049,-0.04135314,0.02714031,-0.17723246,0.88594605,0.38432503,-0.17932593,0.88432714,0.38388934,99,99,99,3.99590567,2.73152785,1.07351368,6.40102612,6.17056853,2.27317751,-1.20560959,-0.41290429,-0.45032637,-9.88366552,-27.98105201,-5.75447751,0.89673919,4.48818159,1.93436057,99,99,99,99,99,99,99,99,99,99,99,99,-0.59557981,-1.27263917,-0.54058309,-0.59554077,-1.27265112,-0.5405949,-0.59557579,-1.27264066,-0.5405825,-3.43658413,3.79323014,0.64864871,-2.15307393,3.63664045,2.28230612,-1.94539423,3.57678175,2.62386749,-1.36465285,-1.62057263,-0.46772835,-3.20916791,-0.24060682,-0.0715202,-0.00224645,-2.01281742,-0.89292235,-1.86247479,-1.36048308,-0.72903032,1.48765359,-1.14115133,0.53631354,2.19769793,0.52490676,0.05355797,-0.48247311,0.72284301,0.41105798,0.62125597,-0.84724482,-0.39619135,99,99,99,-1.04677169,-0.12367593,-0.07285858,1.1310297,0.13359282,0.17271856,-0.1769737,0.8860579,0.38432508,3.5365277,-1.46248117,-2.45968318,5.0482683,-1.01200206,-0.60279317,1.02286499,1.52000431,0.70640458,99,99,99,-1.72106928,1.47767612,0.4777735,-2.38499766,0.54705223,0.74189958
2,2000-01-01 02:12:00,-0.00713937,-0.00264458,-0.00092167,-0.1459095,-0.40113352,-0.1993868,-0.7257197,-0.04137885,0.02712869,-0.17725638,0.88594217,0.38432335,-0.17934939,0.88432268,0.3838874,99,99,99,3.99589934,2.73153601,1.07351733,6.40102017,6.17057343,2.27317979,-1.20560467,-0.41292278,-0.45033599,-9.88366138,-27.98105365,-5.75447929,0.89672857,4.488184,1.93435986,99,99,99,99,99,99,99,99,99,99,99,99,-0.59555801,-1.27264584,-0.54059077,-0.59551898,-1.27265779,-0.54060259,-0.595554,-1.27264733,-0.54059019,-3.43659221,3.79322439,0.648645,-2.15308423,3.6366361,2.28230483,-1.94540458,3.57677764,2.62386709,-1.3646395,-1.62058157,-0.46773366,-3.2091651,-0.24061783,-0.07152351,-0.00222974,-2.01281503,-0.89292225,-1.86246741,-1.36049565,-0.72903501,1.48766744,-1.14114221,0.53632161,2.19769351,0.52492066,0.05356368,-0.48249742,0.72283459,0.41105334,0.62127866,-0.84723695,-0.39618856,99,99,99,-1.04676596,-0.12369557,-0.07286575,1.13102195,0.13361268,0.1727256,-0.17699861,0.88605628,0.3843234,3.53653398,-1.46247242,-2.45967816,5.04827144,-1.01199581,-0.60279089,1.02284932,1.52001195,0.70640844,99,99,99,-1.72108127,1.47766764,0.47776913,-2.38500266,0.54703856,0.74189416
3,2000-01-01 03:20:00,-0.00713912,-0.0026449,-0.00092182,-0.14490737,-0.4013876,-0.1996264,-0.72569208,-0.04225301,0.02673369,-0.17806967,0.88581002,0.38426605,-0.18014684,0.88417094,0.3838215,99,99,99,3.99568403,2.73181356,1.07364154,6.4008178,6.17073979,2.27325719,-1.2054373,-0.41355126,-0.45066296,-9.88352066,-27.98110964,-5.75453958,0.89636738,4.48826602,1.93433597,99,99,99,99,99,99,99,99,99,99,99,99,-0.59481696,-1.27287249,-0.54085195,-0.59477792,-1.27288442,-0.54086376,-0.59481295,-1.27287397,-0.54085137,-3.43686706,3.79302893,0.64851868,-2.15343442,3.63648815,2.28226089,-1.94575646,3.57663779,2.62385326,-1.36418546,-1.62088572,-0.46791408,-3.20906926,-0.24099215,-0.0716361,-0.00166156,-2.0127338,-0.89291909,-1.86221644,-1.36092293,-0.72919461,1.4881385,-1.14083211,0.53659609,2.19754349,0.52539306,0.0537578,-0.48332365,0.72254821,0.4108954,0.62205002,-0.84696927,-0.39609349,99,99,99,-1.04657091,-0.12436329,-0.0731092,1.13075795,0.13428783,0.17296494,-0.17785664,0.88599467,0.38426612,3.53674763,-1.46217473,-2.4595074,5.04837814,-1.01178311,-0.6027133,1.02231661,1.5202717,0.70653968,99,99,99,-1.7214889,1.47737903,0.47762071,-2.38517243,0.5465735,0.74170988
4,2000-01-01 03:24:00,-0.0071391,-0.00264492,-0.00092182,-0.1448484,-0.40140247,-0.19964046,-0.72569041,-0.04230443,0.02671045,-0.17811751,0.88580223,0.38426267,-0.18019374,0.884162,0.38381761,99,99,99,3.99567136,2.73182989,1.07364885,6.40080589,6.17074958,2.27326175,-1.20542745,-0.41358823,-0.45068219,-9.88351238,-27.98111294,-5.75454313,0.89634614,4.48827084,1.93433457,99,99,99,99,99,99,99,99,99,99,99,99,-0.59477337,-1.27288581,-0.54086731,-0.59473433,-1.27289774,-0.54087912,-0.59476936,-1.2728873,-0.54086673,-3.43688322,3.79301744,0.64851125,-2.15345502,3.63647945,2.2822583,-1.94577716,3.57662957,2.62385245,-1.36415874,-1.6209036,-0.46792469,-3.20906362,-0.24101417,-0.07164273,-0.00162814,-2.01272902,-0.8929189,-1.86220168,-1.36094806,-0.72920399,1.4881662,-1.14081387,0.53661223,2.19753466,0.52542085,0.05376922,-0.48337224,0.72253134,0.4108861,0.62209539,-0.84695351,-0.3960879,99,99,99,-1.04655942,-0.12440257,-0.07312352,1.1307424,0.13432754,0.17297901,-0.17790774,0.88599058,0.38426274,3.5367602,-1.46215722,-2.45949735,5.04838441,-1.0117706,-0.60270874,1.02228527,1.52028697,0.7065474,99,99,99,-1.72151288,1.47736205,0.47761198,-2.38518241,0.54654614,0.74169904
5,2000-01-01 03:47:00,-0.00713902,-0.00264503,-0.00092187,-0.14450922,-0.40148777,-0.19972118,-0.72568076,-0.04260009,0.02657684,-0.17839256,0.88575738,0.38424323,-0.18046338,0.88411057,0.38379527,99,99,99,3.99559853,2.73192376,1.07369086,6.40073744,6.17080584,2.27328793,-1.20537076,-0.41380078,-0.45079275,-9.88346479,-27.98113188,-5.75456351,0.89622397,4.48829858,1.93432648,99,99,99,99,99,99,99,99,99,99,99,99,-0.59452269,-1.27296241,-0.54095563,-0.59448365,-1.27297434,-0.54096743,-0.59451868,-1.27296389,-0.54095504,-3.43697618,3.79295132,0.64846852,-2.15357347,3.6364294,2.28224343,-1.94589618,3.57658226,2.62384777,-1.36400515,-1.62100645,-0.4679857,-3.20903119,-0.24114077,-0.07168081,-0.00143596,-2.01270152,-0.89291781,-1.86211677,-1.36109256,-0.72925796,1.4883255,-1.14070896,0.53670506,2.19748388,0.52558063,0.05383488,-0.48365162,0.72243434,0.4108326,0.62235621,-0.84686288,-0.3960557,99,99,99,-1.0464933,-0.1246284,-0.07320586,1.13065299,0.13455589,0.17305995,-0.17820276,0.88596584,0.3842433,3.53683246,-1.46205653,-2.45943959,5.04842049,-1.01169866,-0.6026825,1.02210507,1.5203748,0.70659177,99,99,99,-1.72165073,1.47726441,0.47756178,-2.38523981,0.54638884,0.7416367
6,2000-01-01 03:58:00,-0.00713897,-0.00264508,-0.0009219,-0.14434697,-0.40152846,-0.19975974,-0.72567609,-0.04274148,0.02651293,-0.1785241,0.88573591,0.38423392,-0.18059233,0.88408595,0.38378457,99,99,99,3.9955637,2.73196866,1.07371095,6.4007047,6.17083276,2.27330045,-1.20534363,-0.41390242,-0.45084563,-9.88344202,-27.98114093,-5.75457326,0.89616554,4.48831184,1.93432262,99,99,99,99,99,99,99,99,99,99,99,99,-0.5944028,-1.27299903,-0.54099786,-0.59436376,-1.27301096,-0.54100967,-0.59439879,-1.27300052,-0.54099728,-3.43702064,3.7929197,0.64844809,-2.15363011,3.63640547,2.28223632,-1.9459531,3.57655964,2.62384553,-1.36393169,-1.62105563,-0.46801489,-3.20901567,-0.24120132,-0.07169902,-0.00134405,-2.01268836,-0.89291729,-1.86207616,-1.36116167,-0.72928377,1.48840168,-1.14065878,0.53674945,2.19745959,0.52565704,0.05386628,-0.48378522,0.72238793,0.410807,0.62248095,-0.84681951,-0.39604029,99,99,99,-1.04646166,-0.1247364,-0.07324524,1.13061021,0.13466509,0.17309865,-0.17834455,0.88595326,0.38423399,3.53686701,-1.46200838,-2.45941197,5.04843775,-1.01166426,-0.60266995,1.02201888,1.52041679,0.70661299,99,99,99,-1.72171666,1.47721771,0.47753776,-2.38526726,0.54631361,0.74160688
7,2000-01-01 04:02:00,-0.00713896,-0.0026451,-0.0009219,-0.14428797,-0.40154324,-0.19977375,-0.72567438,-0.0427929,0.02648969,-0.17857194,0.88572809,0.38423053,-0.18063921,0.884077,0.38378068,99,99,99,3.99555103,2.73198498,1.07371826,6.4006928,6.17084254,2.273305,-1.20533376,-0.41393939,-0.45086485,-9.88343375,-27.98114423,-5.75457681,0.89614429,4.48831666,1.93432121,99,99,99,99,99,99,99,99,99,99,99,99,-0.5943592,-1.27301235,-0.54101322,-0.59432016,-1.27302427,-0.54102502,-0.59435519,-1.27301383,-0.54101263,-3.4370368,3.7929082,0.64844065,-2.15365071,3.63639676,2.28223374,-1.9459738,3.57655141,2.62384471,-1.36390498,-1.62107351,-0.4680255,-3.20901003,-0.24122334,-0.07170565,-0.00131063,-2.01268357,-0.8929171,-1.86206139,-1.3611868,-0.72929316,1.48842938,-1.14064053,0.5367656,2.19745076,0.52568483,0.0538777,-0.4838338,0.72237105,0.41079769,0.6225263,-0.84680374,-0.39603469,99,99,99,-1.04645015,-0.12477568,-0.07325955,1.13059465,0.1347048,0.17311273,-0.17839621,0.88594855,0.3842306,3.53687958,-1.46199087,-2.45940192,5.04844402,-1.01165174,-0.60266538,1.02198754,1.52043207,0.70662071,99,99,99,-1.72174063,1.47720073,0.47752903,-2.38527724,0.54628625,0.74159604
8,2000-01-01 04:30:00,-0.00713886,-0.00264523,-0.00092196,-0.14387484,-0.40164645,-0.1998717,-0.72566232,-0.04315281,0.02632702,-0.17890676,0.88567334,0.38420679,-0.1809674,0.88401427,0.38375342,99,99,99,3.99546236,2.73209926,1.0737694,6.40060947,6.17091104,2.27333687,-1.20526467,-0.41419811,-0.45099942,-9.8833758,-27.98116728,-5.75460162,0.89599557,4.48835042,1.93431137,99,99,99,99,99,99,99,99,99,99,99,99,-0.594054,-1.27310554,-0.5411207,-0.59401495,-1.27311746,-0.54113251,-0.59404999,-1.27310702,-0.54112012,-3.43714997,3.79282771,0.64838864,-2.1537949,3.63633583,2.28221563,-1.94611869,3.57649381,2.62383901,-1.36371797,-1.62119869,-0.46809977,-3.20897053,-0.24137747,-0.07175201,-0.00107667,-2.01265006,-0.89291577,-1.861958,-1.3613627,-0.72935885,1.48862327,-1.14051279,0.53687859,2.19738892,0.52587933,0.05395763,-0.48417382,0.72225283,0.41073249,0.62284376,-0.84669331,-0.39599544,99,99,99,-1.04636951,-0.12505058,-0.07335978,1.13048568,0.13498278,0.17321124,-0.17875927,0.88591362,0.38420686,3.53696754,-1.46186828,-2.4593316,5.04848795,-1.01156416,-0.60263343,1.02176814,1.52053895,0.70667471,99,99,99,-1.72190843,1.47708185,0.4774679,-2.38534709,0.54609474,0.74152014
9,2000-01-01 05:13:00,-0.00713869,-0.00264543,-0.00092205,-0.1432401,-0.40180409,-0.20002171,-0.72564337,-0.0437055,0.02607718,-0.17942091,0.88558906,0.38417025,-0.18147128,0.88391779,0.38371148,99,99,99,3.99532619,2.73227475,1.07384794,6.40048149,6.17101624,2.27338582,-1.20515845,-0.4145954,-0.45120604,-9.88328682,-27.98120269,-5.75463971,0.89576716,4.48840226,1.93429625,99,99,99,99,99,99,99,99,99,99,99,99,-0.59358526,-1.27324857,-0.54128574,-0.59354621,-1.27326048,-0.54129754,-0.59358125,-1.27325005,-0.54128515,-3.43732375,3.7927041,0.64830876,-2.15401633,3.63624225,2.28218783,-1.94634119,3.57640536,2.62383025,-1.36343075,-1.62139089,-0.46821382,-3.20890986,-0.24161416,-0.07182321,-0.00071739,-2.01259855,-0.8929137,-1.8617992,-1.36163282,-0.72945973,1.48892099,-1.14031658,0.5370521,2.1972939,0.52617803,0.05408038,-0.48469587,0.72207111,0.41063225,0.62333119,-0.84652358,-0.39593511,99,99,99,-1.04624548,-0.12547274,-0.07351368,1.13031818,0.13540964,0.1733625,-0.17932093,0.88585267,0.38417032,3.53710261,-1.46168003,-2.4592236,5.04855539,-1.01142966,-0.60258437,1.02143117,1.52070305,0.70675763,99,99,99,-1.7221661,1.47689926,0.47737402,-2.38545434,0.54580064,0.74140358
