Time,Object_Name,X_new,Y_new,Z_new,X,Y,Z
12/28/2001,Braille,99,99,99,99,99,99
12/28/2001,Dinkinesh,99,99,99,0.49502901,-2.15044584,-1.0277228
12/31/2001,699,99,99,99,99,99,99
12/31/2001,Ryugu,99,99,99,-0.62639867,-1.08173059,-0.49386575
1/1/2002,Lutetia,99,99,99,-1.55992201,2.05795784,1.00320443
1/1/2002,Braille,99,99,99,0.23148859,2.96415056,0.57818859
1/2/2002,399,99,99,99,99,99,99
1/3/2002,399,99,99,99,99,99,99
1/3/2002,Polymele,99,99,99,99,99,99
1/3/2002,Itokawa,99,99,99,99,99,99
1/3/2002,Ceres,99,99,99,99,99,99
1/8/2002,90000188,99,99,99,2.89380127,3.23620361,1.10351429
1/8/2002,90000191,99,99,99,2.89380429,3.23620434,1.10350745
1/8/2002,Eurybates,99,99,99,-5.25430537,-0.39149695,0.36708756
1/8/2002,Mathilde,99,99,99,1.7933747,1.13327571,0.33950503
1/9/2002,Bennu,99,99,99,0.93885305,-0.54363878,-0.31058907
1/10/2002,Donaldjohanson,99,99,99,99,99,99
1/11/2002,Vesta,99,99,99,0.63870787,2.33741784,0.84693374
1/15/2002,Itokawa,99,99,99,99,99,99
1/20/2002,Ryugu,99,99,99,99,99,99
1/22/2002,Mathilde,99,99,99,1.72008415,1.28809933,0.3860674
1/23/2002,Gaspra,99,99,99,99,99,99
1/27/2002,Mathilde,99,99,99,99,99,99
1/27/2002,Braille,99,99,99,0.04210833,2.91422432,0.47959172
1/29/2002,90000191,99,99,99,2.82677049,3.32598994,1.1628626
2/3/2002,599,99,99,99,99,99,99
2/4/2002,Eurybates,99,99,99,-5.26168453,-0.56541325,0.27026804
2/20/2002,299,99,99,99,99,99,99
3/1/2002,599,99,99,99,99,99,99
3/5/2002,Gaspra,99,99,99,99,99,99
3/6/2002,Ryugu,99,99,99,0.18958736,-1.31437291,-0.50014885
3/10/2002,Ceres,99,99,99,99,99,99
3/11/2002,Patroclus,99,99,99,3.01739736,3.3086194,1.67011986
3/16/2002,199,99,99,99,99,99,99
3/20/2002,Lutetia,99,99,99,-2.13762256,1.62985714,0.84672821
3/28/2002,Ryugu,99,99,99,0.46600431,-1.26117666,-0.45004474
4/3/2002,Lutetia,99,99,99,-2.22425295,1.53790047,0.81094879
4/7/2002,699,99,99,99,2.17738077,8.1491449,3.27217254
4/7/2002,Orus,99,99,99,-4.49748727,2.38336586,0.24689594
4/7/2002,Leucus,99,99,99,-5.15646941,-1.2475894,-1.50513982
4/14/2002,Ryugu,99,99,99,0.66409147,-1.17628175,-0.39563267
4/25/2002,90000191,99,99,99,2.51252176,3.64455227,1.38835557
5/1/2002,Vesta,99,99,99,-0.47191837,2.29721611,0.97618705
5/1/2002,Apophis,99,99,99,0.0051031,0.91242715,0.33936736
5/1/2002,Ceres,99,99,99,2.77917239,-0.65081111,-0.87199352
5/4/2002,Braille,99,99,99,-0.65355443,2.51736557,0.08386727
5/4/2002,Gaspra,99,99,99,1.78850579,0.2960079,0.25388349
5/7/2002,Itokawa,99,99,99,0.06480909,1.43559772,0.63737894
5/8/2002,Bennu,99,99,99,-0.13482843,0.78672102,0.44570046
5/13/2002,Lutetia,99,99,99,-2.43965046,1.254235,0.69757746
5/14/2002,299,99,99,99,-0.41502897,0.51978493,0.26022627
5/14/2002,90000855,99,99,99,2.93461722,2.53787562,0.85590215
5/14/2002,Ceres,99,99,99,2.81454908,-0.54033041,-0.82716991
5/15/2002,Vesta,99,99,99,-0.61098057,2.25601141,0.97796848
5/15/2002,Donaldjohanson,99,99,99,1.30125643,1.50277226,0.74321431
5/16/2002,90000190,99,99,99,2.426987,3.71028056,1.43891701
5/16/2002,Lutetia,99,99,99,-2.45380692,1.23182728,0.68845645
5/17/2002,Patroclus,99,99,99,2.64077581,3.53633969,1.99150932
5/18/2002,Bennu,99,99,99,-0.32603985,0.76176379,0.43246717
5/18/2002,Itokawa,99,99,99,-0.06864389,1.40692193,0.62877414
5/18/2002,Apophis,99,99,99,-0.27220649,0.92473125,0.33677865
5/18/2002,Ryugu,99,99,99,0.99197398,-0.9003465,-0.25199221
5/19/2002,Gaspra,99,99,99,1.73122941,0.48098951,0.32533273
5/22/2002,Orus,99,99,99,99,99,99
5/22/2002,90000190,99,99,99,2.40196884,3.72818272,1.45302375
5/22/2002,Dinkinesh,99,99,99,1.74910918,-1.38426762,-0.68278279
5/23/2002,Eurybates,99,99,99,-5.21560827,-1.25053355,-0.11952943
5/25/2002,90000188,99,99,99,2.38936524,3.73698018,1.46002243
5/27/2002,699,99,99,99,1.89081278,8.20203868,3.30635651
5/28/2002,699,99,99,99,1.88506149,8.20301358,3.30700649
5/28/2002,Eros,99,99,99,-7.18351971,-28.86137287,-6.84233152
5/28/2002,Apophis,99,99,99,-0.42666638,0.89694286,0.32244829
5/29/2002,Polymele,99,99,99,-5.31021329,-1.12362229,0.40368222
5/29/2002,-122911,99,99,99,-0.3893174,-0.86351087,-0.37438513
5/29/2002,Patroclus,99,99,99,2.56989327,3.57279299,2.04669814
5/29/2002,90000855,99,99,99,2.81893756,2.56573176,0.8715139
5/29/2002,Dinkinesh,99,99,99,1.79298785,-1.32736097,-0.65642875
5/30/2002,399,99,99,99,-0.37342943,-0.86967404,-0.37698781
5/30/2002,301,99,99,99,-0.37243253,-0.87180662,-0.3780611
5/30/2002,699,99,99,99,1.87355587,8.20495379,3.30830252
5/30/2002,90000191,99,99,99,2.36822428,3.75143923,1.47159165
5/30/2002,Eurybates,99,99,99,-5.20852956,-1.29413144,-0.14479729
5/31/2002,Bennu,99,99,99,-0.55664072,0.68910198,0.39246559
5/31/2002,-122911,99,99,99,99,99,99
6/3/2002,90000855,99,99,99,99,99,99
6/4/2002,Donaldjohanson,99,99,99,1.07756044,1.61111894,0.77031648
6/4/2002,Ryugu,99,99,99,1.10858746,-0.71515401,-0.16646443
6/5/2002,399,99,99,99,-0.277355,-0.90043392,-0.39032372
6/8/2002,Apophis,99,99,99,-0.58388934,0.83978173,0.29711822
6/8/2002,Ryugu,99,99,99,1.13038189,-0.66762497,-0.14536929
6/8/2002,-122911,99,99,99,-0.22842598,-0.91227508,-0.39551025
6/11/2002,Bennu,99,99,99,-0.72876452,0.59788671,0.34171955
