Time,Object_Name,X,Y,Z
7/21/2002,Patroclus,2.24583665,3.71786217,2.28114931
10/4/2002,90000190,99,99,99
10/4/2002,Itokawa,-1.00406818,-0.14592284,-0.03354448
10/19/2002,SUN,99,99,99
10/27/2002,-122911,99,99,99
10/28/2002,301,99,99,99
7/23/2003,-122911,99,99,99
7/24/2003,Dinkinesh,99,99,99
10/10/2003,Leucus,99,99,99
4/14/2005,399,99,99,99
9/28/2005,Orus,99,99,99
10/2/2005,Mathilde,99,99,99
10/3/2005,Itokawa,99,99,99
10/3/2005,90000855,99,99,99
10/8/2005,Patroclus,-4.92618536,1.41139381,2.90473997
5/25/2006,90000188,2.98992811,0.54296237,-0.3020617
12/16/2006,199,99,99,99
1/15/2007,Vesta,-1.98326996,-0.96518455,-0.12485332
2/5/2007,Ryugu,99,99,99
2/13/2007,301,99,99,99
1/15/2008,Itokawa,99,99,99
1/16/2008,299,99,99,99
5/10/2009,-122911,-0.66070796,-0.69890588,-0.30307035
6/5/2009,699,-9.3002411,1.17490011,0.88563838
6/22/2009,433,99,99,99
8/18/2009,-122911,99,99,99
8/25/2009,Lutetia,99,99,99
1/25/2010,Orus,99,99,99
5/10/2010,90000855,99,99,99
5/15/2010,90000191,99,99,99
5/16/2010,Gaspra,-2.55595728,-0.05564772,-0.21189093
5/17/2010,433,-1.01934569,0.54730481,0.12740038
5/17/2010,Vesta,99,99,99
5/17/2010,Dinkinesh,99,99,99
5/23/2010,Dinkinesh,-1.73729221,0.9759404,0.48883117
5/23/2010,Gaspra,-2.55607967,-0.11947489,-0.2380137
5/26/2010,199,99,99,99
5/26/2010,299,99,99,99
5/28/2010,299,99,99,99
6/7/2010,Dinkinesh,-1.8435437,0.83798368,0.42493132
6/11/2010,90000190,99,99,99
6/11/2010,90000191,99,99,99
6/12/2010,301,99,99,99
6/12/2010,699,-9.49820768,-0.74528948,0.10104218
6/12/2010,433,-1.19595143,0.20546999,-0.09866833
6/12/2010,90000188,-2.1005825,0.90664782,0.8748787
6/12/2010,90000190,-2.10058039,0.9066388,0.87487481
6/12/2010,Vesta,-2.27073694,-0.13762373,0.2415417
6/12/2010,Bennu,1.00267907,-0.32400482,-0.18768891
6/12/2010,Apophis,99,99,99
6/12/2010,90000855,-1.06939024,-1.49741666,-0.53310784
6/12/2010,Ceres,-0.2000271,-2.57302345,-1.17235492
6/14/2010,Eurybates,99,99,99
6/14/2010,Mathilde,99,99,99
6/14/2010,Bennu,99,99,99
6/15/2010,199,0.32069553,0.09429882,0.01652902
6/15/2010,90000188,-2.10091125,0.87414037,0.85819178
6/19/2010,Eros,2.16358617,-30.14148906,-10.05820352
6/19/2010,Orus,99,99,99
8/19/2010,Polymele,99,99,99
8/19/2010,Itokawa,99,99,99
9/11/2010,433,99,99,99
9/11/2010,Polymele,99,99,99
9/18/2010,Leucus,99,99,99
10/10/2010,Donaldjohanson,99,99,99
10/17/2010,433,-0.5428288,-1.26234597,-0.81455348
10/17/2010,Mathilde,99,99,99
10/22/2010,Apophis,99,99,99
10/22/2010,90000855,99,99,99
1/21/2011,Eros,2.85170625,-30.13781753,-10.26392705
1/23/2011,-122911,99,99,99
5/4/2011,Annefrank,-2.11677116,-0.23655869,0.05260761
5/7/2011,301,99,99,99
6/27/2011,SUN,99,99,99
6/28/2011,SUN,99,99,99
6/28/2011,299,0.32336831,0.59358484,0.24637893
7/22/2011,Orus,1.22915818,4.37441819,1.93898872
7/30/2011,Donaldjohanson,99,99,99
8/4/2011,Leucus,99,99,99
8/14/2011,299,99,99,99
8/15/2011,90000855,99,99,99
8/16/2011,399,99,99,99
8/16/2011,Eurybates,99,99,99
8/18/2011,299,99,99,99
8/25/2011,299,-0.66414335,0.24044182,0.14999187
8/28/2011,Ceres,2.87071687,-0.26780832,-0.71135988
9/5/2011,Lutetia,1.1333793,-1.5589798,-0.75737435
9/5/2011,Ceres,2.88171554,-0.19824928,-0.68081883
9/7/2011,Donaldjohanson,0.02868038,-2.55020395,-1.07402537
9/7/2011,Bennu,1.01397903,-0.09499181,-0.05798895
9/7/2011,Dinkinesh,0.34239412,-2.17497343,-1.03738887
9/10/2011,Donaldjohanson,99,99,99
9/10/2011,Ryugu,1.0934905,0.22940767,0.20602839
9/11/2011,Bennu,1.00632792,-0.03318805,-0.02302784
9/13/2011,-122911,0.98641459,-0.16588141,-0.07180976
12/21/2011,Itokawa,-0.75280371,-0.55475467,-0.22549037
4/4/2012,Ryugu,-1.01132912,-0.61989365,-0.35123335
5/26/2012,Mathilde,99,99,99
7/11/2012,SUN,99,99,99
7/11/2012,199,99,99,99
7/11/2012,Gaspra,0.84972486,1.53923757,0.69281859
7/12/2012,399,0.34345241,-0.87899491,-0.381084
7/12/2012,433,-0.63830426,-1.19986942,-0.79615802
7/21/2012,90000190,3.28481295,2.25561307,0.52335767
7/21/2012,Bennu,-0.04206056,-1.1635725,-0.65712427
7/21/2012,90000855,99,99,99
7/22/2012,Orus,99,99,99
7/22/2012,90000855,4.79515987,-1.43825582,-0.75681767
7/22/2012,Dinkinesh,2.12516899,0.17343636,0.05085662
7/24/2012,Leucus,-4.46060863,2.85057296,0.10295614
7/25/2012,Orus,99,99,99
7/25/2012,Vesta,99,99,99
7/25/2012,Ceres,1.59306041,2.16834611,0.69719488
7/26/2012,699,-8.50128803,-4.53596712,-1.50759231
7/28/2012,Mathilde,-3.2423734,0.75266846,0.22811577
7/28/2012,Donaldjohanson,2.39740661,-1.20641838,-0.30961266
8/10/2012,Patroclus,4.27384461,0.1951734,-1.34755985
9/1/2012,Dinkinesh,1.97601426,0.59758836,0.25438127
11/17/2012,Ceres,0.482802,2.42961948,1.04666079
11/18/2012,301,0.55393064,0.74644257,0.32376013
11/18/2012,599,99,99,99
11/18/2012,433,0.81529325,-1.43586632,-0.66782316
11/18/2012,Orus,-2.43068119,4.1545766,1.27630177
11/24/2012,Gaspra,-0.80268939,1.85304452,0.69855882
12/13/2012,Ceres,0.21081818,2.42388079,1.09939871
12/14/2012,Bennu,0.86631983,0.32235498,0.17867024
12/25/2012,90000188,2.98096731,3.12022375,1.02840075
1/27/2013,SUN,-0.00112472,-0.00226327,-0.00103071
1/27/2013,399,-0.59410544,0.71900195,0.31165347
2/12/2013,Ceres,-0.4308207,2.31047931,1.17674122
