,Time,Object_Name,X,Y,Z
0,10/3/2005,90000855,4.2346494,-1.98703476,-0.94457207
1,1/15/2008,Itokawa,1.42410192,0.78048716,0.30642639
2,1/25/2010,Orus,4.45021011,1.81897333,1.42473146
3,5/17/2010,Dinkinesh,-1.69099754,1.02907552,0.51336305
4,8/16/2011,399,0.80131811,-0.56430661,-0.24463365
5,7/11/2012,SUN,-0.00230531,-0.00188631,-0.00083965
6,7/21/2012,90000855,4.7918763,-1.44250929,-0.75832137
7,2/27/2015,Braille,2.46966344,1.30383112,1.38384832
8,4/27/2015,Apophis,0.36490191,-0.63481806,-0.2270736
9,6/18/2016,Annefrank,2.2035592,0.54759742,0.06239669
10,7/31/2016,Dinkinesh,-0.6106815,1.67771895,0.80506542
11,8/2/2016,Leucus,-1.15388714,-5.06098388,-2.0440798
